city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Romblon,12.5751,122.2708,Philippines,PH,Romblon,admin,,
Lianga,8.6336,126.0947,Philippines,PH,Surigao del Sur,minor,,
Dalaguete,9.7618,123.5332,Philippines,PH,Cebu,minor,,
Alabel,6.1018,125.2905,Philippines,PH,Sarangani,admin,,
Padre Burgos,13.9226,121.8116,Philippines,PH,Quezon,minor,,
Baler,15.7589,121.5607,Philippines,PH,Aurora,admin,,
Maribojoc,9.7436,123.8429,Philippines,PH,Bohol,minor,,
Siquijor,9.2142,123.515,Philippines,PH,Siquijor,admin,,
Lagawe,16.8,121.1192,Philippines,PH,Ifugao,admin,,
Ipil,7.7844,122.5861,Philippines,PH,Zamboanga Sibugay,admin,,
Basco,20.4486,121.9702,Philippines,PH,Batanes,admin,,
Shariff Aguak,6.8647,124.4417,Philippines,PH,Maguindanao,admin,,
Cabarroguis,16.5111,121.5212,Philippines,PH,Quirino,admin,,
Jordan,10.6584,122.5963,Philippines,PH,Guimaras,admin,,
Bontoc,17.0899,120.978,Philippines,PH,Mountain,admin,,
Kabugao,18.0231,121.184,Philippines,PH,Apayao,admin,,
Prosperidad,8.58,125.8964,Philippines,PH,Agusan del Sur,admin,,
Santa Cruz,14.1167,121.2833,Philippines,PH,Laguna,admin,,
Koronadal,6.2541,124.9922,Philippines,PH,South Cotabato,admin,,
San Jose,10.18,125.5683,Philippines,PH,Dinagat Islands,admin,,
Tabuk,17.4084,121.2785,Philippines,PH,Kalinga,admin,,
Pili,13.7177,123.7448,Philippines,PH,Camarines Sur,admin,,
Buguey,18.2882,121.8331,Philippines,PH,Cagayan,minor,,
San Antonio,13.8965,121.2902,Philippines,PH,Quezon,minor,,
Hinatuan,8.3689,126.3352,Philippines,PH,Surigao del Sur,minor,,
Lupon,6.8981,126.0096,Philippines,PH,Davao Oriental,minor,,
Poblacion,6.8037,124.6367,Philippines,PH,Sultan Kudarat,minor,,
Panay,11.5563,122.791,Philippines,PH,Capiz,minor,,
Magalang,15.2154,120.6617,Philippines,PH,Pampanga,minor,,
Agdangan,13.8771,121.9131,Philippines,PH,Quezon,minor,,
Monkayo,7.817,126.0524,Philippines,PH,Compostela Valley,minor,,
Tingloy,13.6609,120.8711,Philippines,PH,Batangas,minor,,
Anda,9.7444,124.5754,Philippines,PH,Bohol,minor,,
Talipao,5.9764,121.1161,Philippines,PH,Sulu,minor,,
Kabasalan,7.7981,122.7636,Philippines,PH,Zamboanga Sibugay,minor,,
Sikatuna,9.6904,123.973,Philippines,PH,Bohol,minor,,
Padre Burgos,10.0369,125.0192,Philippines,PH,Southern Leyte,minor,,
Roseller Lim,7.6561,122.4671,Philippines,PH,Zamboanga Sibugay,minor,,
Banaybanay,6.9623,126.0172,Philippines,PH,Davao Oriental,minor,,
President Quirino,6.7253,124.7382,Philippines,PH,Sultan Kudarat,minor,,
Corella,9.6896,123.9197,Philippines,PH,Bohol,minor,,
Madridejos,9.7912,123.3462,Philippines,PH,Cebu,minor,,
Claveria,12.9035,123.2457,Philippines,PH,Masbate,minor,,
